19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,51,24,85,,93,29,57,,75,20,45,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,49,16,83,,,91,27,55,,,73,12,43,,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,50,15,81,,,,92,28,56,,,,71,11,44,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,23,82,,,,,,99,,,,,,72,19,,,,,,,,,,,,,,,,
12,,,,,,,,,,84,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,69,9,41,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,67,7,39,,,,61,1,33,,,,65,5,37,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,64,4,36,98,,,,,,,,97,63,3,35,,f1,,,,,,,,,,,,,,
8,,,,,,,,,,68,8,40,,,,62,2,34,,,,66,6,38,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,70,10,42,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,89,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,
5,,,,,,,,,,25,87,,,,,,100,,,,,,77,21,,,,,,,,,,,,,,,,
4,,,,,,,,,,53,17,86,,,,95,31,59,,,,76,13,47,,,,,,,,,,,,,,,,
3,,,,,,,,,,,52,18,88,,,94,30,58,,,78,14,46,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,54,26,90,,96,32,60,,80,22,48,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
