19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,97,60,51,16,34,76,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,95,59,50,14,32,75,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,93,58,49,12,30,74,,,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,,,,,,91,57,48,10,28,73,,,,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,89,56,47,8,26,72,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,87,55,46,6,24,71,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,85,54,45,4,22,70,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,99,52,44,2,20,69,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,,,,35,1,18,68,,,,,,,,,,f1,,,,,,,,,,,,,,
8,,,,,,,,,,,,100,53,36,3,19,77,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,86,61,37,5,21,78,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,88,62,38,7,23,79,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,90,63,39,9,25,80,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,92,64,40,11,27,81,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,94,65,41,13,29,82,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,96,66,42,15,31,83,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,98,67,43,17,33,84,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
